sample_id,label,annotation,text_dim,audio_dim,vision_dim,max_length,duration,valid_length,alignment,face_detection_rate,status
-dxfTGcXJoc$_$6,0.6666666865348816,Positive,768,32,35,50,12.6284375,32,ctc_forced_alignment,1.0,ok
-egA8-b7-3M$_$26,1.6666666269302368,Positive,768,32,35,50,5.9205625,19,ctc_forced_alignment,1.0,ok
-egA8-b7-3M$_$17,0.3333333432674408,Positive,768,32,35,50,7.09525,19,ctc_forced_alignment,1.0,ok
-egA8-b7-3M$_$18,1.0,Positive,768,32,35,50,8.2656875,27,ctc_forced_alignment,1.0,ok
-egA8-b7-3M$_$16,0.6666666865348816,Positive,768,32,35,50,5.483,13,ctc_forced_alignment,1.0,ok
-egA8-b7-3M$_$13,0.3333333432674408,Positive,768,32,35,50,4.023875,16,ctc_forced_alignment,1.0,ok
-egA8-b7-3M$_$1,0.6666666865348816,Positive,768,32,35,50,10.15625,22,ctc_forced_alignment,1.0,ok
-egA8-b7-3M$_$6,0.6666666865348816,Positive,768,32,35,50,6.183125,13,ctc_forced_alignment,1.0,ok
-egA8-b7-3M$_$9,0.3333333432674408,Positive,768,32,35,50,4.936125,12,ctc_forced_alignment,1.0,ok
-egA8-b7-3M$_$20,0.3333333432674408,Positive,768,32,35,50,6.4744375,24,ctc_forced_alignment,1.0,ok
-iRBcNs9oI8$_$3,0.6666666865348816,Positive,768,32,35,50,5.53825,9,ctc_forced_alignment,0.9642857142857143,ok
-iRBcNs9oI8$_$7,0.6666666865348816,Positive,768,32,35,50,4.00575,15,ctc_forced_alignment,1.0,ok
-iRBcNs9oI8$_$6,0.3333333432674408,Positive,768,32,35,50,2.8204375,5,ctc_forced_alignment,1.0,ok
-iRBcNs9oI8$_$9,1.3333333730697632,Positive,768,32,35,50,3.3740625,5,ctc_forced_alignment,0.7058823529411765,ok
-iRBcNs9oI8$_$8,1.0,Positive,768,32,35,50,8.0260625,26,ctc_forced_alignment,1.0,ok
-lzEya4AM_4$_$5,-0.6666666865348816,Negative,768,32,35,50,7.5696875,21,ctc_forced_alignment,1.0,ok
-lzEya4AM_4$_$6,-0.3333333432674408,Negative,768,32,35,50,14.740375,48,ctc_forced_alignment,1.0,ok
-mJ2ud6oKI8$_$1,0.0,Neutral,768,32,35,50,6.0545,13,ctc_forced_alignment,0.0,ok
-mJ2ud6oKI8$_$2,0.0,Neutral,768,32,35,50,5.7016875,17,ctc_forced_alignment,0.2413793103448276,ok
-mJ2ud6oKI8$_$6,0.3333333432674408,Positive,768,32,35,50,2.228125,5,ctc_forced_alignment,1.0,ok
-mJ2ud6oKI8$_$9,0.0,Neutral,768,32,35,50,6.90875,29,ctc_forced_alignment,1.0,ok
-mJ2ud6oKI8$_$8,-0.3333333432674408,Negative,768,32,35,50,4.171375,11,ctc_forced_alignment,1.0,ok
-mqbVkbCndg$_$0,0.0,Neutral,768,32,35,50,6.3855,17,ctc_forced_alignment,1.0,ok
-t217m2on-s$_$2,0.6666666865348816,Positive,768,32,35,50,5.6301875,16,ctc_forced_alignment,1.0,ok
-t217m2on-s$_$7,-0.6666666865348816,Negative,768,32,35,50,17.026375,48,ctc_forced_alignment,1.0,ok
-tANM6ETl_M$_$3,0.3333333432674408,Positive,768,32,35,50,6.603625,29,ctc_forced_alignment,0.9411764705882353,ok
-tPCytz4rww$_$11,0.0,Neutral,768,32,35,50,5.3785625,20,ctc_forced_alignment,1.0,ok
-tPCytz4rww$_$10,0.0,Neutral,768,32,35,50,4.6788125,15,ctc_forced_alignment,1.0,ok
-tPCytz4rww$_$12,0.0,Neutral,768,32,35,50,11.7361875,28,ctc_forced_alignment,1.0,ok
-tPCytz4rww$_$16,0.0,Neutral,768,32,35,50,7.1391875,17,ctc_forced_alignment,1.0,ok
-tPCytz4rww$_$18,0.0,Neutral,768,32,35,50,6.5688125,22,ctc_forced_alignment,1.0,ok
-vxjVxOeScU$_$4,1.0,Positive,768,32,35,50,9.0370625,27,ctc_forced_alignment,0.9565217391304348,ok
-wMB_hJL-3o$_$7,0.3333333432674408,Positive,768,32,35,50,5.9755625,23,ctc_forced_alignment,0.967741935483871,ok
-wny0OAz3g8$_$1,0.3333333432674408,Positive,768,32,35,50,6.7765625,28,ctc_forced_alignment,1.0,ok
-wny0OAz3g8$_$0,0.3333333432674408,Positive,768,32,35,50,3.274,11,ctc_forced_alignment,1.0,ok
-wny0OAz3g8$_$3,-1.3333333730697632,Negative,768,32,35,50,6.099875,20,ctc_forced_alignment,1.0,ok
-wny0OAz3g8$_$2,-0.3333333432674408,Negative,768,32,35,50,6.5226875,28,ctc_forced_alignment,1.0,ok
-wny0OAz3g8$_$5,1.0,Positive,768,32,35,50,6.7414375,27,ctc_forced_alignment,1.0,ok
-wny0OAz3g8$_$7,0.0,Neutral,768,32,35,50,7.9105,31,ctc_forced_alignment,1.0,ok
-wny0OAz3g8$_$9,0.6666666865348816,Positive,768,32,35,50,6.0435,22,ctc_forced_alignment,1.0,ok
-571d8cVauQ$_$0,0.0,Neutral,768,32,35,50,4.9923125,16,ctc_forced_alignment,0.8846153846153846,ok
-571d8cVauQ$_$5,0.3333333432674408,Positive,768,32,35,50,15.11525,48,ctc_forced_alignment,1.0,ok
-I_e4mIh0yE$_$1,-0.6666666865348816,Negative,768,32,35,50,7.4443125,21,ctc_forced_alignment,1.0,ok
-I_e4mIh0yE$_$3,0.6666666865348816,Positive,768,32,35,50,8.994375,30,ctc_forced_alignment,1.0,ok
-UacrmKiTn4$_$10,-0.6666666865348816,Negative,768,32,35,50,7.2420625,22,ctc_forced_alignment,1.0,ok
-UacrmKiTn4$_$4,-1.3333333730697632,Negative,768,32,35,50,4.6819375,15,ctc_forced_alignment,1.0,ok
-hnBHBN8p5A$_$7,0.6666666865348816,Positive,768,32,35,50,7.3085625,17,ctc_forced_alignment,0.4444444444444444,ok
-hnBHBN8p5A$_$6,1.0,Positive,768,32,35,50,6.3328125,14,ctc_forced_alignment,0.41935483870967744,ok
-qDkUB0GgYY$_$6,1.3333333730697632,Positive,768,32,35,50,4.6146875,18,ctc_forced_alignment,1.0,ok
-uywlfIYOS8$_$4,0.3333333432674408,Positive,768,32,35,50,5.881125,22,ctc_forced_alignment,1.0,ok
-6rXp3zJ3kc$_$8,-1.0,Negative,768,32,35,50,12.738,38,ctc_forced_alignment,1.0,ok
-9y-fZ3swSY$_$0,1.0,Positive,768,32,35,50,6.757,28,ctc_forced_alignment,1.0,ok
-9y-fZ3swSY$_$4,0.0,Neutral,768,32,35,50,2.6648125,11,ctc_forced_alignment,1.0,ok
-9y-fZ3swSY$_$8,1.6666666269302368,Positive,768,32,35,50,4.917,14,ctc_forced_alignment,0.8,ok
-AUZQgSxyPQ$_$2,0.6666666865348816,Positive,768,32,35,50,22.4045625,48,ctc_forced_alignment,1.0,ok
-HeZS2-Prhc$_$2,0.6666666865348816,Positive,768,32,35,50,8.150875,17,ctc_forced_alignment,0.975609756097561,ok
-MeTTeMJBNc$_$0,0.3333333432674408,Positive,768,32,35,50,9.2183125,26,ctc_forced_alignment,0.9787234042553191,ok
-MeTTeMJBNc$_$13,0.3333333432674408,Positive,768,32,35,50,5.2555,16,ctc_forced_alignment,1.0,ok
-MeTTeMJBNc$_$7,1.3333333730697632,Positive,768,32,35,50,10.4113125,33,ctc_forced_alignment,1.0,ok
-RfYyzHpjk4$_$11,2.0,Positive,768,32,35,50,5.074875,19,ctc_forced_alignment,0.9230769230769231,ok
-RfYyzHpjk4$_$8,0.3333333432674408,Positive,768,32,35,50,4.532375,21,ctc_forced_alignment,1.0,ok
-RfYyzHpjk4$_$2,0.3333333432674408,Positive,768,32,35,50,5.3918125,29,ctc_forced_alignment,0.8928571428571429,ok
-UUCSKoHeMA$_$0,0.0,Neutral,768,32,35,50,7.73225,23,ctc_forced_alignment,0.9743589743589743,ok
-ri04Z7vwnc$_$0,0.0,Neutral,768,32,35,50,2.76325,8,ctc_forced_alignment,0.0,ok
-ri04Z7vwnc$_$2,-0.3333333432674408,Negative,768,32,35,50,5.913375,26,ctc_forced_alignment,0.3448275862068966,ok
-ri04Z7vwnc$_$5,0.3333333432674408,Positive,768,32,35,50,3.43975,11,ctc_forced_alignment,1.0,ok
-s9qJ7ATP7w$_$1,0.6666666865348816,Positive,768,32,35,50,4.6438125,12,ctc_forced_alignment,1.0,ok
-s9qJ7ATP7w$_$0,-0.3333333432674408,Negative,768,32,35,50,6.7105625,28,ctc_forced_alignment,1.0,ok
-s9qJ7ATP7w$_$5,-2.0,Negative,768,32,35,50,8.397875,20,ctc_forced_alignment,0.9534883720930233,ok
-s9qJ7ATP7w$_$4,0.0,Neutral,768,32,35,50,4.246875,10,ctc_forced_alignment,0.6818181818181818,ok
-s9qJ7ATP7w$_$7,1.0,Positive,768,32,35,50,6.8385625,38,ctc_forced_alignment,0.7428571428571429,ok
-s9qJ7ATP7w$_$6,0.0,Neutral,768,32,35,50,2.3148125,5,ctc_forced_alignment,0.75,ok
-s9qJ7ATP7w$_$8,1.3333333730697632,Positive,768,32,35,50,3.18425,17,ctc_forced_alignment,1.0,ok
-yRb-Jum7EQ$_$1,0.0,Neutral,768,32,35,50,29.10975,48,ctc_forced_alignment,1.0,ok
-yRb-Jum7EQ$_$5,-0.6666666865348816,Negative,768,32,35,50,13.0445625,31,ctc_forced_alignment,1.0,ok
-yRb-Jum7EQ$_$6,0.0,Neutral,768,32,35,50,11.2425625,24,ctc_forced_alignment,0.9821428571428571,ok
